tag:tv polygon:471.0,559.0:483.0,526.0:514.0,549.0:499.0,571.0:473.0,558.0:
tag:bike polygon:447.0,210.0:448.0,225.0:427.0,236.0:421.0,231.0:445.0,211.0:
tag:bike polygon:609.0,324.0:612.0,327.0:
tag:blackboard polygon:342.0,531.0:364.0,523.0:360.0,516.0:342.0,523.0:344.0,530.0:
tag:blackboard polygon:290.0,421.0:293.0,435.0:284.0,442.0:277.0,429.0:290.0,423.0:
tag:cabinet polygon:227.0,433.0:229.0,440.0:257.0,429.0:251.0,422.0:228.0,433.0:
tag:cabinet polygon:575.0,315.0:580.0,331.0:585.0,327.0:580.0,312.0:575.0,315.0:
tag:computer polygon:634.0,292.0:638.0,282.0:653.0,285.0:648.0,298.0:635.0,290.0:
tag:computer polygon:648.0,335.0:648.0,324.0:672.0,321.0:671.0,337.0:646.0,334.0:
tag:computer polygon:648.0,353.0:651.0,341.0:662.0,343.0:663.0,359.0:650.0,354.0:
tag:computer polygon:644.0,456.0:637.0,446.0:654.0,443.0:656.0,456.0:644.0,456.0:
tag:couch polygon:461.0,536.0:472.0,535.0:475.0,553.0:467.0,556.0:460.0,538.0:
tag:couch polygon:472.0,562.0:476.0,555.0:495.0,562.0:487.0,569.0:472.0,561.0:
tag:couch polygon:606.0,308.0:601.0,313.0:616.0,327.0:618.0,320.0:604.0,310.0:
tag:couch polygon:698.0,450.0:699.0,459.0:715.0,455.0:714.0,448.0:698.0,451.0:
tag:desk polygon:410.0,256.0:433.0,249.0:451.0,236.0:465.0,255.0:441.0,271.0:413.0,277.0:410.0,257.0:
tag:desk polygon:646.0,395.0:659.0,410.0:669.0,400.0:665.0,391.0:657.0,387.0:648.0,395.0:
tag:desk polygon:672.0,400.0:685.0,416.0:695.0,400.0:678.0,387.0:670.0,391.0:673.0,401.0:
tag:desk polygon:638.0,445.0:652.0,442.0:653.0,452.0:642.0,455.0:637.0,445.0:
tag:desk polygon:647.0,353.0:650.0,341.0:666.0,346.0:663.0,361.0:647.0,351.0:
tag:desk polygon:647.0,332.0:646.0,324.0:671.0,321.0:670.0,336.0:646.0,333.0:
tag:desk polygon:698.0,428.0:690.0,414.0:701.0,405.0:712.0,423.0:699.0,427.0:
tag:desk polygon:605.0,280.0:595.0,269.0:610.0,254.0:621.0,267.0:605.0,278.0:
tag:desk polygon:621.0,379.0:630.0,352.0:645.0,358.0:632.0,386.0:621.0,378.0:
tag:desk polygon:632.0,289.0:647.0,297.0:653.0,284.0:640.0,278.0:635.0,289.0:
tag:desk polygon:545.0,318.0:550.0,322.0:545.0,331.0:532.0,327.0:546.0,318.0:
tag:desk polygon:670.0,485.0:675.0,499.0:666.0,503.0:660.0,490.0:671.0,485.0:
tag:desk polygon:269.0,477.0:273.0,493.0:285.0,492.0:285.0,478.0:270.0,478.0:
tag:desk polygon:239.0,316.0:245.0,333.0:253.0,328.0:251.0,314.0:241.0,317.0:
tag:desk polygon:284.0,274.0:285.0,280.0:300.0,278.0:295.0,272.0:284.0,275.0:
tag:desk polygon:308.0,267.0:312.0,273.0:326.0,265.0:321.0,260.0:308.0,269.0:
tag:door polygon:667.0,469.0:665.0,456.0:678.0,458.0:680.0,466.0:666.0,466.0:
tag:door polygon:286.0,301.0:282.0,289.0:287.0,285.0:292.0,298.0:284.0,301.0:
tag:door polygon:298.0,333.0:293.0,320.0:300.0,318.0:304.0,332.0:296.0,331.0:
tag:door polygon:308.0,364.0:304.0,349.0:312.0,349.0:314.0,361.0:306.0,364.0:
tag:door polygon:702.0,461.0:700.0,454.0:712.0,452.0:714.0,460.0:702.0,461.0:
tag:door polygon:517.0,252.0:523.0,257.0:528.0,248.0:523.0,243.0:518.0,252.0:
tag:door polygon:356.0,503.0:353.0,491.0:360.0,490.0:364.0,504.0:356.0,503.0:
tag:door polygon:391.0,156.0:392.0,143.0:400.0,145.0:397.0,158.0:390.0,155.0:
tag:door polygon:342.0,548.0:337.0,535.0:347.0,534.0:348.0,547.0:340.0,547.0:
tag:door polygon:576.0,585.0:586.0,584.0:585.0,578.0:576.0,579.0:578.0,584.0:
tag:door polygon:521.0,232.0:521.0,225.0:535.0,234.0:530.0,239.0:521.0,230.0:
tag:door polygon:479.0,27.0:499.0,29.0:498.0,24.0:483.0,23.0:480.0,28.0:
tag:door polygon:394.0,376.0:400.0,375.0:395.0,360.0:390.0,364.0:394.0,377.0:
tag:door polygon:372.0,371.0:378.0,369.0:375.0,356.0:368.0,358.0:374.0,370.0:
tag:door polygon:503.0,509.0:517.0,505.0:513.0,499.0:502.0,501.0:504.0,508.0:
tag:door polygon:574.0,504.0:581.0,501.0:580.0,491.0:572.0,491.0:576.0,504.0:
tag:door polygon:349.0,566.0:354.0,575.0:361.0,571.0:356.0,564.0:350.0,566.0:
tag:door polygon:325.0,581.0:326.0,593.0:332.0,586.0:331.0,578.0:325.0,580.0:
tag:door polygon:325.0,554.0:325.0,563.0:332.0,561.0:331.0,551.0:324.0,556.0:
tag:door polygon:423.0,518.0:427.0,526.0:432.0,523.0:428.0,514.0:423.0,520.0:
tag:door polygon:289.0,450.0:292.0,457.0:310.0,450.0:307.0,443.0:290.0,450.0:
tag:door polygon:333.0,442.0:338.0,454.0:344.0,450.0:340.0,440.0:333.0,444.0:
tag:door polygon:342.0,461.0:346.0,470.0:353.0,467.0:348.0,457.0:341.0,465.0:
tag:door polygon:197.0,429.0:202.0,438.0:210.0,433.0:205.0,424.0:198.0,431.0:
tag:door polygon:202.0,272.0:202.0,280.0:209.0,279.0:208.0,272.0:201.0,273.0:
tag:door polygon:230.0,212.0:230.0,222.0:240.0,218.0:238.0,212.0:227.0,214.0:
tag:door polygon:517.0,395.0:532.0,389.0:529.0,385.0:516.0,389.0:518.0,392.0:
tag:door polygon:563.0,458.0:568.0,467.0:572.0,463.0:567.0,455.0:564.0,459.0:
tag:door polygon:561.0,303.0:570.0,311.0:574.0,305.0:566.0,299.0:561.0,303.0:
tag:door polygon:565.0,395.0:569.0,406.0:576.0,404.0:571.0,393.0:565.0,397.0:
tag:door polygon:479.0,290.0:482.0,300.0:500.0,292.0:496.0,286.0:479.0,291.0:
tag:door polygon:322.0,485.0:322.0,495.0:330.0,495.0:330.0,482.0:321.0,487.0:
tag:door polygon:462.0,88.0:461.0,97.0:468.0,96.0:469.0,88.0:461.0,87.0:
tag:door polygon:139.0,427.0:146.0,436.0:152.0,431.0:147.0,425.0:138.0,429.0:
tag:door polygon:580.0,337.0:587.0,348.0:591.0,344.0:589.0,333.0:581.0,338.0:
tag:door polygon:333.0,619.0:342.0,626.0:345.0,618.0:338.0,614.0:335.0,619.0:
tag:door polygon:181.0,428.0:189.0,425.0:188.0,418.0:179.0,421.0:181.0,427.0:
tag:door polygon:493.0,59.0:499.0,60.0:500.0,53.0:493.0,48.0:495.0,61.0:
tag:door polygon:494.0,44.0:502.0,45.0:504.0,36.0:496.0,35.0:496.0,43.0:
tag:fish polygon:630.0,316.0:640.0,323.0:644.0,318.0:634.0,312.0:631.0,317.0:
tag:kayak polygon:471.0,209.0:470.0,221.0:501.0,242.0:510.0,234.0:471.0,208.0:
tag:locker polygon:418.0,602.0:455.0,589.0:452.0,581.0:417.0,595.0:420.0,601.0:
tag:locker polygon:267.0,399.0:270.0,409.0:278.0,401.0:275.0,397.0:267.0,400.0:
tag:locker polygon:289.0,379.0:294.0,392.0:301.0,388.0:299.0,378.0:290.0,381.0:
tag:locker polygon:281.0,252.0:292.0,255.0:294.0,248.0:285.0,245.0:282.0,252.0:
tag:printer polygon:359.0,416.0:358.0,407.0:378.0,398.0:380.0,409.0:358.0,415.0:
tag:printer polygon:621.0,399.0:624.0,387.0:639.0,393.0:634.0,406.0:621.0,398.0:
tag:railing polygon:450.0,150.0:458.0,150.0:466.0,107.0:458.0,108.0:451.0,149.0:
tag:railing polygon:398.0,166.0:452.0,175.0:453.0,167.0:400.0,160.0:400.0,166.0:
tag:railing polygon:441.0,214.0:448.0,215.0:454.0,175.0:446.0,173.0:442.0,212.0:
tag:railing polygon:523.0,415.0:543.0,470.0:550.0,466.0:530.0,415.0:523.0,418.0:
tag:railing polygon:444.0,511.0:550.0,473.0:548.0,462.0:444.0,503.0:445.0,510.0:
tag:railing polygon:441.0,507.0:420.0,449.0:425.0,447.0:449.0,506.0:441.0,506.0:
tag:railing polygon:424.0,453.0:528.0,413.0:522.0,407.0:418.0,446.0:426.0,453.0:
tag:secretary polygon:553.0,425.0:561.0,440.0:580.0,429.0:574.0,417.0:554.0,425.0:
tag:shelf polygon:281.0,345.0:292.0,379.0:297.0,375.0:287.0,345.0:282.0,347.0:
tag:stairs polygon:522.0,480.0:517.0,468.0:544.0,456.0:548.0,470.0:522.0,477.0:
tag:stairs polygon:444.0,142.0:447.0,125.0:459.0,125.0:455.0,143.0:446.0,142.0:
tag:stairs polygon:330.0,614.0:339.0,626.0:330.0,630.0:322.0,621.0:332.0,615.0:
tag:waterfountain polygon:491.0,81.0:499.0,83.0:501.0,67.0:492.0,67.0:492.0,80.0:
tag:whiteboard polygon:619.0,384.0:613.0,378.0:624.0,344.0:633.0,351.0:622.0,385.0:
tag:whiteboard polygon:340.0,273.0:348.0,296.0:353.0,294.0:346.0,273.0:340.0,274.0:
tag:whiteboard polygon:457.0,589.0:477.0,583.0:472.0,572.0:457.0,580.0:460.0,587.0:
tag:whiteboard polygon:254.0,261.0:277.0,260.0:275.0,250.0:253.0,254.0:255.0,261.0:
tag:whiteboard polygon:171.0,448.0:173.0,457.0:195.0,449.0:189.0,444.0:172.0,447.0:
tag:whiteboard polygon:600.0,315.0:613.0,327.0:616.0,320.0:607.0,312.0:602.0,316.0:
tag:whiteboard polygon:244.0,238.0:250.0,265.0:256.0,264.0:252.0,242.0:245.0,240.0:
tag:whiteboard polygon:222.0,324.0:229.0,342.0:237.0,337.0:232.0,318.0:222.0,324.0:
tag:whiteboard polygon:578.0,296.0:588.0,303.0:590.0,293.0:583.0,290.0:579.0,297.0:
tag:workarea polygon:597.0,429.0:599.0,438.0:613.0,433.0:611.0,426.0:598.0,430.0:
tag:workarea polygon:255.0,357.0:263.0,385.0:284.0,375.0:266.0,346.0:255.0,347.0:256.0,358.0:
tag:office polygon:668,458:669,499:686,503:675,457:670,459:
tag:office polygon:563,304:571,307:544,330:519,329:510,303:536,288:567,306:
tag:office polygon:644,398:677,390:703,409:714,456:644,456:643,398:
tag:office polygon:630,348:619,329:630,317:660,316:643,376:630,349:
tag:office polygon:595,299:615,255:639,268:602,308:595,298:
tag:office polygon:324,480:325,500:301,501:301,481:325,482:
tag:office polygon:325,545:266,546:266,527:320,531:323,546:
tag:office polygon:345,539:351,556:393,536:388,526:346,541:
tag:office polygon:325,586:326,596:297,609:297,589:323,584:
tag:office polygon:332,613:292,632:303,651:345,623:330,612:
tag:office polygon:279,249:254,223:282,221:287,246:279,247:
tag:office polygon:199,307:220,299:226,325:208,331:201,307:
tag:office polygon:232,335:236,346:238,363:213,367:209,345:232,340:232,338:
tag:office polygon:290,292:292,304:325,303:346,287:337,273:286,289:290,294:
tag:office polygon:307,345:311,356:315,370:358,357:350,331:308,345:
tag:office polygon:357,485:365,512:414,492:407,471:358,486:
tag:office polygon:299,272:290,255:314,234:332,263:299,273:
tag:office polygon:120,366:90,357:111,341:129,355:121,366:
tag:office polygon:183,424:177,395:192,390:201,418:184,424:
tag:office polygon:89,434:64,424:64,400:100,411:89,429:88,433:
tag:hallway polygon:445,555:419,480:407,448:393,405:379,367:366,329:357,305:349,278:346,270:367,290:381,329:387,354:393,375:408,422:416,439:433,487:448,521:462,552:463,561:448,565:445,553:
tag:hallway polygon:370,614:385,610:412,596:447,581:472,573:464,561:442,566:412,580:381,594:367,598:372,611:
tag:hallway polygon:469,203:474,167:477,141:484,108:489,75:494,53:496,30:479,28:471,68:469,93:461,147:454,188:450,204:469,201:
tag:hallway polygon:378,312:409,304:445,291:459,281:476,276:485,263:501,247:510,240:518,232:530,236:495,283:480,291:438,301:412,313:389,322:383,323:379,312:
tag:hallway polygon:423,445:461,430:482,422:521,410:539,401:536,389:506,398:476,411:448,422:423,430:419,433:424,443:
tag:hallway polygon:528,411:541,444:546,467:552,475:560,500:570,559:573,576:591,574:578,511:570,482:562,459:553,433:546,413:542,407:528,413:
tag:hallway polygon:449,520:486,506:515,502:528,492:553,484:545,471:519,481:483,497:450,509:446,511:451,519:
tag:hallway polygon:342,518:330,477:320,454:313,435:306,408:298,383:294,368:288,347:280,330:268,297:283,295:295,331:306,361:312,386:317,398:323,412:332,443:340,461:349,488:354,502:358,518:343,520:
tag:hallway polygon:325,405:342,398:362,393:374,385:382,385:387,401:356,414:341,416:332,417:328,400:325,403:
tag:hallway polygon:154,454:199,443:227,432:274,415:288,412:297,408:292,397:259,404:234,417:226,419:183,432:159,437:149,441:155,450:
tag:hallway polygon:357,622:333,559:320,519:316,511:330,512:346,566:361,600:367,615:359,623:
tag:cup polygon:107,360:117,360:113,352:109,355:109,359:
tag:kitchen polygon:468,79:474,53:462,51:455,78:468,77:
tag:kitchen polygon:581,536:585,554:600,556:595,535:582,537:
tag:exit polygon:448,126:445,150:454,152:456,129:449,128:
tag:exit polygon:544,465:526,471:523,468:539,460:541,464:
tag:exit polygon:379,612:382,620:392,618:391,609:379,612:
tag:cd point:640.0,364.0:
tag:cd point:591.0,435.0:
tag:cd point:438.0,260.0:
tag:cd point:638.0,297.0:
tag:cd point:610.0,271.0:
tag:cd point:305.0,264.0:
tag:backpack point:321.0,492.0:
tag:bike point:266.0,265.0:
tag:bike point:645.0,444.0:
tag:book point:648.0,280.0:
tag:book point:277.0,484.0:
tag:book point:650.0,349.0:
tag:book point:648.0,330.0:
tag:book point:643.0,290.0:
tag:book point:614.0,273.0:
tag:book point:645.0,450.0:
tag:book point:663.0,490.0:
tag:book point:667.0,481.0:
tag:book point:549.0,322.0:
tag:book point:314.0,494.0:
tag:book point:100.0,379.0:
tag:book point:100.0,356.0:
tag:book point:84.0,482.0:
tag:book point:439.0,261.0:
tag:book point:574.0,443.0:
tag:book point:690.0,402.0:
tag:book point:660.0,395.0:
tag:book point:711.0,441.0:
tag:book point:319.0,264.0:
tag:book point:277.0,232.0:
tag:book point:309.0,538.0:
tag:book point:324.0,588.0:
tag:book point:370.0,500.0:
tag:book point:309.0,289.0:
tag:book point:324.0,355.0:
tag:book point:260.0,420.0:
tag:book point:207.0,326.0:
tag:book point:329.0,624.0:
tag:book point:360.0,545.0:
tag:bottle point:610.0,275.0:
tag:bottle point:656.0,321.0:
tag:bottle point:642.0,360.0:
tag:bottle point:688.0,404.0:
tag:bottle point:705.0,432.0:
tag:bottle point:575.0,442.0:
tag:bottle point:670.0,483.0:
tag:bottle point:588.0,542.0:
tag:bottle point:473.0,60.0:
tag:bottle point:313.0,488.0:
tag:bottle point:369.0,501.0:
tag:bottle point:326.0,585.0:
tag:bottle point:331.0,617.0:
tag:bottle point:290.0,442.0:
tag:bottle point:234.0,345.0:
tag:bottle point:250.0,316.0:
tag:bottle point:306.0,269.0:
tag:bottle point:111.0,358.0:
tag:bottle point:104.0,387.0:
tag:bottle point:82.0,421.0:
tag:cabinet point:306.0,486.0:
tag:cabinet point:114.0,401.0:
tag:cabinet point:197.0,444.0:
tag:cabinet point:432.0,286.0:
tag:cabinet point:520.0,318.0:
tag:cabinet point:566.0,291.0:
tag:cabinet point:584.0,302.0:
tag:cabinet point:587.0,396.0:
tag:cabinet point:599.0,433.0:
tag:cabinet point:643.0,427.0:
tag:cabinet point:704.0,439.0:
tag:cabinet point:316.0,540.0:
tag:cabinet point:363.0,617.0:
tag:cellphone point:654.0,294.0:
tag:cellphone point:632.0,307.0:
tag:cellphone point:667.0,485.0:
tag:cellphone point:315.0,495.0:
tag:cellphone point:98.0,388.0:
tag:chair point:646.0,287.0:
tag:chair point:640.0,308.0:
tag:chair point:637.0,362.0:
tag:chair point:634.0,379.0:
tag:chair point:659.0,357.0:
tag:chair point:662.0,331.0:
tag:chair point:611.0,268.0:
tag:chair point:441.0,243.0:
tag:chair point:421.0,251.0:
tag:chair point:455.0,257.0:
tag:chair point:424.0,270.0:
tag:chair point:537.0,326.0:
tag:chair point:672.0,493.0:
tag:chair point:439.0,266.0:
tag:chair point:368.0,283.0:
tag:chair point:315.0,493.0:
tag:chair point:273.0,499.0:
tag:chair point:290.0,493.0:
tag:chair point:283.0,469.0:
tag:chair point:263.0,483.0:
tag:chair point:306.0,262.0:
tag:chair point:284.0,269.0:
tag:chair point:110.0,353.0:
tag:chair point:108.0,381.0:
tag:chair point:108.0,388.0:
tag:chair point:88.0,414.0:
tag:chair point:373.0,500.0:
tag:chair point:316.0,590.0:
tag:chair point:308.0,294.0:
tag:chair point:234.0,347.0:
tag:chair point:73.0,496.0:
tag:chair point:313.0,537.0:
tag:chair point:289.0,441.0:
tag:chair point:662.0,398.0:
tag:chair point:688.0,404.0:
tag:chair point:706.0,438.0:
tag:chair point:573.0,441.0:
tag:chair point:606.0,424.0:
tag:chair point:326.0,355.0:
tag:chair point:186.0,407.0:
tag:chair point:278.0,239.0:
tag:chair point:207.0,318.0:
tag:chair point:576.0,280.0:
tag:chair point:537.0,292.0:
tag:chair point:112.0,516.0:
tag:chair point:293.0,443.0:
tag:chair point:229.0,272.0:
tag:coffeemaker point:593.0,557.0:
tag:coffeemaker point:469.0,65.0:
tag:coffeemug point:645.0,285.0:
tag:coffeemug point:609.0,276.0:
tag:coffeetable point:483.0,530.0:
tag:computer point:683.0,400.0:
tag:computer point:705.0,418.0:
tag:computer point:655.0,397.0:
tag:computer point:373.0,284.0:
tag:computer point:317.0,264.0:
tag:computer point:288.0,276.0:
tag:computer point:452.0,253.0:
tag:computer point:448.0,264.0:
tag:computer point:439.0,251.0:
tag:computer point:533.0,322.0:
tag:computer point:544.0,294.0:
tag:computer point:669.0,485.0:
tag:computer point:315.0,494.0:
tag:computer point:288.0,442.0:
tag:computer point:370.0,500.0:
tag:computer point:313.0,589.0:
tag:computer point:278.0,228.0:
tag:computer point:233.0,347.0:
tag:computer point:267.0,321.0:
tag:computer point:99.0,358.0:
tag:computer point:88.0,375.0:
tag:computer point:77.0,413.0:
tag:computer point:112.0,515.0:
tag:computer point:307.0,539.0:
tag:computer point:363.0,542.0:
tag:computer point:610.0,275.0:
tag:computer point:335.0,623.0:
tag:computer point:207.0,323.0:
tag:computer point:311.0,295.0:
tag:computer point:573.0,441.0:
tag:copier point:597.0,571.0:
tag:couch point:278.0,233.0:
tag:cup point:613.0,276.0:
tag:cup point:632.0,307.0:
tag:cup point:643.0,362.0:
tag:cup point:446.0,262.0:
tag:cup point:468.0,77.0:
tag:cup point:316.0,492.0:
tag:cup point:368.0,501.0:
tag:desk point:316.0,498.0:
tag:desk point:230.0,352.0:
tag:desk point:108.0,361.0:
tag:desk point:101.0,378.0:
tag:desk point:98.0,389.0:
tag:desk point:81.0,421.0:
tag:desk point:100.0,495.0:
tag:desk point:542.0,307.0:
tag:desk point:372.0,501.0:
tag:desk point:308.0,538.0:
tag:desk point:318.0,588.0:
tag:desk point:375.0,291.0:
tag:desk point:275.0,227.0:
tag:desk point:210.0,326.0:
tag:desk point:329.0,627.0:
tag:desk point:290.0,442.0:
tag:drill point:606.0,432.0:
tag:drill point:263.0,349.0:
tag:espresso point:596.0,556.0:
tag:espresso point:226.0,421.0:
tag:ethernetcable point:261.0,421.0:
tag:folder point:581.0,440.0:
tag:headphone point:706.0,433.0:
tag:headphone point:638.0,297.0:
tag:headphone point:304.0,270.0:
tag:headphone point:235.0,349.0:
tag:helicopter point:668.0,430.0:
tag:keyboard point:645.0,281.0:
tag:keyboard point:609.0,276.0:
tag:keyboard point:658.0,320.0:
tag:keyboard point:658.0,341.0:
tag:keyboard point:641.0,361.0:
tag:keyboard point:642.0,456.0:
tag:keyboard point:662.0,396.0:
tag:keyboard point:689.0,400.0:
tag:keyboard point:704.0,426.0:
tag:keyboard point:709.0,449.0:
tag:keyboard point:669.0,487.0:
tag:keyboard point:532.0,320.0:
tag:keyboard point:540.0,291.0:
tag:keyboard point:370.0,500.0:
tag:keyboard point:358.0,540.0:
tag:keyboard point:316.0,491.0:
tag:keyboard point:309.0,540.0:
tag:keyboard point:319.0,265.0:
tag:keyboard point:227.0,348.0:
tag:keyboard point:276.0,237.0:
