tag:cafeteria polygon:1126.0,888.0:1134.0,852.0:1146.0,842.0:1246.0,848.0:1260.0,890.0:1254.0,912.0:1128.0,902.0:1126.0,880.0:1130.0,878.0:1130.0,874.0:1126.0,876.0:1134.0,872.0:1132.0,870.0:1126.0,884.0:
tag:table polygon:1292.0,894.0:1294.0,880.0:1306.0,882.0:1306.0,896.0:1292.0,892.0:
tag:table polygon:1288.0,870.0:1292.0,862.0:1308.0,864.0:1308.0,878.0:1286.0,876.0:1290.0,862.0:1288.0,868.0:
tag:door polygon:1266.0,820.0:1260.0,814.0:1270.0,806.0:1280.0,820.0:1264.0,824.0:
tag:door polygon:1288.0,810.0:1286.0,798.0:1296.0,796.0:1308.0,804.0:1288.0,808.0:
tag:helpdesk polygon:1106.0,1034.0:1106.0,1004.0:1154.0,1016.0:1170.0,1026.0:1168.0,1050.0:1136.0,1054.0:1112.0,1042.0:1106.0,1028.0:1104.0,1030.0:
tag:door polygon:1274.0,1192.0:1276.0,1178.0:1294.0,1184.0:1284.0,1202.0:1274.0,1188.0:
tag:bench polygon:710.0,908.0:716.0,888.0:728.0,892.0:726.0,914.0:708.0,906.0:
tag:bench polygon:688.0,910.0:688.0,888.0:702.0,890.0:700.0,912.0:688.0,906.0:
tag:bench polygon:666.0,908.0:666.0,884.0:674.0,886.0:674.0,908.0:662.0,908.0:
tag:sidewalk polygon:250.0,1404.0:256.0,1354.0:1034.0,1518.0:1022.0,1552.0:252.0,1398.0:250.0,1400.0:
tag:table polygon:1282.0,992.0:1286.0,978.0:1304.0,980.0:1298.0,998.0:1282.0,990.0:
tag:table polygon:1278.0,1018.0:1280.0,1002.0:1304.0,1000.0:1298.0,1018.0:1280.0,1016.0:
tag:table polygon:1232.0,1054.0:1248.0,1018.0:1264.0,1032.0:1242.0,1066.0:1232.0,1050.0:
tag:entryway polygon:1226.0,776.0:1292.0,746.0:1336.0,816.0:1270.0,840.0:1230.0,776.0:
tag:entryway polygon:1244.0,1214.0:1318.0,1246.0:1366.0,1242.0:1438.0,1172.0:1432.0,1144.0:1412.0,1130.0:1396.0,1142.0:1376.0,1170.0:1344.0,1194.0:1294.0,1172.0:1270.0,1162.0:1246.0,1210.0:
tag:elevator polygon:1046.0,1142.0:1046.0,1134.0:1060.0,1138.0:1052.0,1152.0:1042.0,1142.0:
tag:elevator polygon:1016.0,1188.0:1026.0,1174.0:1036.0,1180.0:1030.0,1200.0:1014.0,1186.0:
tag:studyroom polygon:990.0,940.0:1006.0,896.0:1048.0,910.0:1026.0,954.0:988.0,942.0:
tag:table polygon:954.0,908.0:958.0,894.0:980.0,904.0:968.0,920.0:952.0,902.0:954.0,898.0:954.0,904.0:
tag:pillar polygon:1056.0,1036.0:1044.0,1020.0:1054.0,1006.0:1068.0,1010.0:1066.0,1030.0:1054.0,1034.0:
tag:pillar polygon:1002.0,980.0:1014.0,964.0:1030.0,972.0:1020.0,988.0:1004.0,978.0:
tag:pillar polygon:956.0,880.0:956.0,868.0:978.0,870.0:976.0,884.0:962.0,886.0:954.0,878.0:
tag:parkingspace polygon:40.0,996.0:44.0,968.0:78.0,958.0:82.0,962.0:98.0,996.0:40.0,992.0:
tag:parkingspace polygon:32.0,762.0:30.0,730.0:76.0,722.0:72.0,760.0:28.0,762.0:
tag:parkingspace polygon:24.0,700.0:24.0,664.0:68.0,664.0:70.0,700.0:20.0,698.0:
tag:parkingspace polygon:26.0,616.0:30.0,576.0:80.0,576.0:74.0,616.0:26.0,612.0:
tag:parkingspace polygon:16.0,534.0:22.0,494.0:76.0,500.0:74.0,546.0:16.0,534.0:
tag:door polygon:212.0,1010.0:202.0,992.0:208.0,976.0:222.0,998.0:212.0,1008.0:
tag:elevator polygon:218.0,1090.0:220.0,1072.0:230.0,1076.0:230.0,1094.0:218.0,1090.0:
tag:door polygon:614.0,502.0:610.0,494.0:624.0,484.0:630.0,500.0:610.0,500.0:
tag:stairs polygon:962.0,1172.0:978.0,1138.0:996.0,1146.0:980.0,1180.0:962.0,1170.0:
tag:road polygon:110.0,1270.0:94.0,378.0:196.0,382.0:144.0,528.0:140.0,652.0:150.0,762.0:174.0,930.0:184.0,1044.0:172.0,1150.0:166.0,1206.0:168.0,1276.0:110.0,1262.0:110.0,1266.0:
tag:bicyclerack polygon:172.0,1244.0:184.0,1124.0:232.0,1130.0:210.0,1260.0:172.0,1240.0:
tag:bicyclerack polygon:466.0,528.0:426.0,418.0:458.0,412.0:474.0,422.0:502.0,508.0:462.0,526.0:
tag:bicyclerack polygon:580.0,314.0:556.0,248.0:552.0,208.0:566.0,166.0:594.0,190.0:582.0,230.0:590.0,272.0:610.0,286.0:616.0,312.0:592.0,326.0:576.0,308.0:582.0,310.0:
tag:entryway polygon:570.0,518.0:598.0,482.0:580.0,434.0:580.0,420.0:648.0,424.0:644.0,584.0:624.0,622.0:608.0,602.0:590.0,582.0:614.0,566.0:604.0,536.0:584.0,556.0:568.0,516.0:
tag:hallway polygon:236.0,898.0:328.0,834.0:360.0,816.0:368.0,828.0:492.0,812.0:490.0,824.0:528.0,822.0:608.0,836.0:674.0,818.0:724.0,842.0:796.0,856.0:828.0,848.0:886.0,870.0:874.0,922.0:756.0,888.0:590.0,884.0:434.0,878.0:396.0,874.0:330.0,890.0:288.0,912.0:266.0,932.0:238.0,896.0:
tag:hallway polygon:516.0,810.0:568.0,762.0:592.0,736.0:596.0,718.0:580.0,650.0:580.0,596.0:648.0,594.0:638.0,706.0:636.0,732.0:634.0,750.0:616.0,760.0:594.0,800.0:594.0,826.0:518.0,804.0:518.0,808.0:
tag:diningarea polygon:1252.0,846.0:1340.0,842.0:1322.0,924.0:1282.0,908.0:1274.0,942.0:1280.0,960.0:1316.0,964.0:1308.0,1038.0:1276.0,1026.0:1240.0,1074.0:1204.0,1040.0:1234.0,994.0:1252.0,940.0:1254.0,918.0:1254.0,848.0:
tag:stairs polygon:846.0,818.0:840.0,796.0:862.0,790.0:868.0,804.0:846.0,814.0:
tag:hallway polygon:234.0,896.0:202.0,918.0:256.0,998.0:242.0,1034.0:238.0,1126.0:212.0,1266.0:244.0,1274.0:264.0,1160.0:282.0,1096.0:288.0,1024.0:284.0,942.0:274.0,918.0:240.0,894.0:224.0,896.0:228.0,898.0:232.0,896.0:
tag:road polygon:1038,162:566,160:518,248:422,324:354,330:290,326:222,348:190,376:90,380:124,310:184,252:284,226:380,234:434,228:480,172:512,124:554,108:1040,96:1038,158:
tag:hallway polygon:1258,836:1122,844:1056,850:1010,872:958,868:954,850:988,852:1020,836:1084,814:1096,800:1148,788:1226,790:1256,836:
tag:elevator polygon:844,756:844,746:858,744:856,760:842,754:
tag:elevator polygon:870,762:872,746:888,748:890,764:870,760:
